elapsed_sec,joint_states,tf,rgb_image,depth_image,contact_wrench,contact_state,safety_status,readiness_gates,pre_control_contract,controller_boundary_report,all_required_inputs_available,status
0.460,false,false,false,false,false,false,false,false,false,false,false,control_development_scaffold_pending
0.660,true,false,false,false,true,true,true,true,true,true,false,control_development_scaffold_pending
0.860,true,false,false,false,true,true,true,true,true,true,false,control_development_scaffold_pending
1.060,true,false,false,false,true,true,true,true,true,true,false,control_development_scaffold_pending
1.260,true,false,false,false,true,true,true,true,true,true,false,control_development_scaffold_pending
1.460,true,false,false,false,true,true,true,true,true,true,false,control_development_scaffold_pending
1.661,true,true,false,false,true,true,true,true,true,true,false,control_development_scaffold_pending
1.861,true,true,false,false,true,true,true,true,true,true,false,control_development_scaffold_pending
2.061,true,true,false,false,true,true,true,true,true,true,false,control_development_scaffold_pending
2.260,true,true,false,false,true,true,true,true,true,true,false,control_development_scaffold_pending
2.460,true,true,false,false,true,true,true,true,true,true,false,control_development_scaffold_pending
2.661,true,true,false,false,true,true,true,true,true,true,false,control_development_scaffold_pending
2.860,true,true,false,false,true,true,true,true,true,true,false,control_development_scaffold_pending
3.060,true,true,false,false,true,true,true,true,true,true,false,control_development_scaffold_pending
3.264,true,true,false,false,true,true,true,true,true,true,false,control_development_scaffold_pending
3.460,true,true,false,false,true,true,true,true,true,true,false,control_development_scaffold_pending
3.661,true,true,false,false,true,true,true,true,true,true,false,control_development_scaffold_pending
3.861,true,true,false,false,true,true,true,true,true,true,false,control_development_scaffold_pending
4.060,true,true,false,false,true,true,true,true,true,true,false,control_development_scaffold_pending
4.260,true,true,false,false,true,true,true,true,true,true,false,control_development_scaffold_pending
4.462,true,true,false,false,true,true,true,true,true,true,false,control_development_scaffold_pending
4.660,true,true,false,false,true,true,true,true,true,true,false,control_development_scaffold_pending
4.860,true,true,false,false,true,true,true,true,true,true,false,control_development_scaffold_pending
5.060,true,true,false,false,true,true,true,true,true,true,false,control_development_scaffold_pending
5.260,true,true,false,false,true,true,true,true,true,true,false,control_development_scaffold_pending
5.460,true,true,false,false,true,true,true,true,true,true,false,control_development_scaffold_pending
5.660,true,true,false,false,true,true,true,true,true,true,false,control_development_scaffold_pending
5.860,true,true,false,false,true,true,true,true,true,true,false,control_development_scaffold_pending
6.060,true,true,false,false,true,true,true,true,true,true,false,control_development_scaffold_pending
6.260,true,true,false,false,true,true,true,true,true,true,false,control_development_scaffold_pending
6.460,true,true,false,false,true,true,true,true,true,true,false,control_development_scaffold_pending
6.662,true,true,false,false,true,true,true,true,true,true,false,control_development_scaffold_pending
6.864,true,true,false,false,true,true,true,true,true,true,false,control_development_scaffold_pending
7.061,true,true,false,false,true,true,true,true,true,true,false,control_development_scaffold_pending
7.260,true,true,false,false,true,true,true,true,true,true,false,control_development_scaffold_pending
7.463,true,true,false,false,true,true,true,true,true,true,false,control_development_scaffold_pending
7.664,true,true,false,false,true,true,true,true,true,true,false,control_development_scaffold_pending
7.863,true,true,false,false,true,true,true,true,true,true,false,control_development_scaffold_pending
8.063,true,true,false,false,true,true,true,true,true,true,false,control_development_scaffold_pending
8.260,true,true,false,false,true,true,true,true,true,true,false,control_development_scaffold_pending
8.460,true,true,false,false,true,true,true,true,true,true,false,control_development_scaffold_pending
8.662,true,true,false,false,true,true,true,true,true,true,false,control_development_scaffold_pending
8.863,true,true,false,false,true,true,true,true,true,true,false,control_development_scaffold_pending
9.061,true,true,false,false,true,true,true,true,true,true,false,control_development_scaffold_pending
9.263,true,true,false,false,true,true,true,true,true,true,false,control_development_scaffold_pending
9.461,true,true,false,false,true,true,true,true,true,true,false,control_development_scaffold_pending
9.661,true,true,false,false,true,true,true,true,true,true,false,control_development_scaffold_pending
9.860,true,true,false,false,true,true,true,true,true,true,false,control_development_scaffold_pending
10.062,true,true,false,false,true,true,true,true,true,true,false,control_development_scaffold_pending
10.260,true,true,false,false,true,true,true,true,true,true,false,control_development_scaffold_pending
10.460,true,true,false,false,true,true,true,true,true,true,false,control_development_scaffold_pending
10.660,true,true,false,false,true,true,true,true,true,true,false,control_development_scaffold_pending
10.860,true,true,false,false,true,true,true,true,true,true,false,control_development_scaffold_pending
11.061,true,true,false,false,true,true,true,true,true,true,false,control_development_scaffold_pending
11.261,true,true,false,false,true,true,true,true,true,true,false,control_development_scaffold_pending
11.462,true,true,false,false,true,true,true,true,true,true,false,control_development_scaffold_pending
11.660,true,true,false,false,true,true,true,true,true,true,false,control_development_scaffold_pending
11.860,true,true,false,false,true,true,true,true,true,true,false,control_development_scaffold_pending
12.060,true,true,false,false,true,true,true,true,true,true,false,control_development_scaffold_pending
12.260,true,true,false,false,true,true,true,true,true,true,false,control_development_scaffold_pending
12.460,true,true,false,false,true,true,true,true,true,true,false,control_development_scaffold_pending
12.660,true,true,false,false,true,true,true,true,true,true,false,control_development_scaffold_pending
12.860,true,true,false,false,true,true,true,true,true,true,false,control_development_scaffold_pending
13.060,true,true,false,false,true,true,true,true,true,true,false,control_development_scaffold_pending
13.260,true,true,false,false,true,true,true,true,true,true,false,control_development_scaffold_pending
13.460,true,true,false,false,true,true,true,true,true,true,false,control_development_scaffold_pending
13.660,true,true,false,false,true,true,true,true,true,true,false,control_development_scaffold_pending
13.860,true,true,false,false,true,true,true,true,true,true,false,control_development_scaffold_pending
14.060,true,true,false,false,true,true,true,true,true,true,false,control_development_scaffold_pending
14.260,true,true,false,false,true,true,true,true,true,true,false,control_development_scaffold_pending
14.463,true,true,false,false,true,true,true,true,true,true,false,control_development_scaffold_pending
14.660,true,true,false,false,true,true,true,true,true,true,false,control_development_scaffold_pending
14.862,true,true,false,false,true,true,true,true,true,true,false,control_development_scaffold_pending
15.063,true,true,false,false,true,true,true,true,true,true,false,control_development_scaffold_pending
15.263,true,true,false,false,true,true,true,true,true,true,false,control_development_scaffold_pending
15.460,true,true,false,false,true,true,true,true,true,true,false,control_development_scaffold_pending
15.660,true,true,false,false,true,true,true,true,true,true,false,control_development_scaffold_pending
15.860,true,true,false,false,true,true,true,true,true,true,false,control_development_scaffold_pending
16.060,true,true,false,false,true,true,true,true,true,true,false,control_development_scaffold_pending
16.260,true,true,false,false,true,true,true,true,true,true,false,control_development_scaffold_pending
16.461,true,true,false,false,true,true,true,true,true,true,false,control_development_scaffold_pending
16.660,true,true,false,false,true,true,true,true,true,true,false,control_development_scaffold_pending
16.860,true,true,false,false,true,true,true,true,true,true,false,control_development_scaffold_pending
17.060,true,true,false,false,true,true,true,true,true,true,false,control_development_scaffold_pending
17.260,true,true,false,false,true,true,true,true,true,true,false,control_development_scaffold_pending
17.460,true,true,false,false,true,true,true,true,true,true,false,control_development_scaffold_pending
17.660,true,true,false,false,true,true,true,true,true,true,false,control_development_scaffold_pending
17.860,true,true,false,false,true,true,true,true,true,true,false,control_development_scaffold_pending
18.063,true,true,false,false,true,true,true,true,true,true,false,control_development_scaffold_pending
18.260,true,true,false,false,true,true,true,true,true,true,false,control_development_scaffold_pending
18.460,true,true,false,false,true,true,true,true,true,true,false,control_development_scaffold_pending
18.662,true,true,false,false,true,true,true,true,true,true,false,control_development_scaffold_pending
18.861,true,true,false,false,true,true,true,true,true,true,false,control_development_scaffold_pending
19.062,true,true,false,false,true,true,true,true,true,true,false,control_development_scaffold_pending
19.262,true,true,false,false,true,true,true,true,true,true,false,control_development_scaffold_pending
19.462,true,true,false,false,true,true,true,true,true,true,false,control_development_scaffold_pending
19.661,true,true,false,false,true,true,true,true,true,true,false,control_development_scaffold_pending
19.862,true,true,false,false,true,true,true,true,true,true,false,control_development_scaffold_pending
20.063,true,true,false,false,true,true,true,true,true,true,false,control_development_scaffold_pending
20.260,true,true,false,false,true,true,true,true,true,true,false,control_development_scaffold_pending
